#id, name, elevation, latitude, longitude, active
1, ?, 340.0, 36.81, -119.73, false
2, ?, 285.0, 36.34, -120.11, true
3, ?, 10.0, 36.88, -121.79, false
4, ?, 230.0, 36.97, -121.73, false
5, Shafter, 360.0, 35.53, -119.28, true
6, Davis, 60.0, 38.54, -121.78, true
7, Firebaugh, 185.0, 36.85, -120.59, true
8, ?, 250.0, 40.05, -122.16, true
9, ?, 406.0, 35.24, -118.89, false
10, ?, 400.0, 35.08, -119.08, false
11, ?, 290.0, 35.16, -119.18, false
12, Durham, 130.0, 39.61, -121.82, true
13, Camino, 2780.0, 38.75, -120.73, true
14, ?, 235.0, 39.74, -122.17, false
15, Stratford, 193.0, 36.16, -119.85, true
16, ?, 44.0, 36.91, -121.7, false
17, ?, -86.0, 32.85, -115.45, false
18, ?, -195.0, 33.08, -115.61, false
19, Castroville, 9.0, 36.77, -121.77, true
20, ?, 190.0, 36.04, -119.57, false
21, ?, 340.0, 35.87, -119.89, true
22, ?, 238.0, 36.49, -119.78, false
23, ?, 300.0, 36.17, -121.12, false
24, ?, -120.0, 33.63, -116.11, false
25, ?, 240.0, 33.76, -116.42, false
26, ?, 410.0, 35.51, -119.69, false
27, Zamora, 50.0, 38.81, -121.91, false
28, ?, 170.0, 36.45, -121.36, false
29, ?, 275.0, 36.52, -120.31, false
30, Nicolaus, 32.0, 38.87, -121.55, true
31, ?, 480.0, 35.7, -119.15, false
32, Colusa, 55.0, 39.23, -122.02, true
33, Visalia, 350.0, 36.3, -119.22, false
34, ?, 1820.0, 33.49, -117.2, false
35, Bishop, 4170.0, 37.36, -118.4, true
36, ?, 270.0, 33.66, -114.56, false
37, ?, 120.0, 36.62, -121.55, false
38, ?, 270.0, 34.95, -120.38, false
39, Parlier, 337.0, 36.6, -119.5, true
40, ?, 187.0, 36.68, -120.39, false
41, Calipatria, -110.0, 33.04, -115.42, true
42, ?, 23.0, 38.11, -121.35, false
43, McArthur, 3310.0, 41.07, -121.45, true
44, ?, 1020.0, 33.97, -117.34, true
45, ?, 370.0, 32.79, -117.14, false
46, ?, 4254.0, 41.79, -122.06, false
47, Brentwood, 45.0, 37.93, -121.66, true
48, ?, 4042.0, 42.0, -121.43, false
49, ?, 50.0, 33.26, -117.32, false
50, ?, -30.0, 33.65, -116.24, false
51, ?, 180.0, 38.66, -122.87, false
52, ?, 330.0, 35.31, -120.66, true
53, ?, 270.0, 36.34, -121.26, false
54, ?, 705.0, 35.65, -119.96, true
55, ?, 200.0, 33.73, -116.38, false
56, Los Banos, 95.0, 37.09, -120.76, true
57, Buntingville, 4005.0, 40.29, -120.43, true
58, ?, 175.0, 34.3, -119.12, false
59, ?, 4110.0, 35.11, -118.44, false
60, ?, 2180.0, 34.9, -117.12, false
61, Orland, 198.0, 39.69, -122.15, true
62, Temecula, 1420.0, 33.49, -117.22, true
63, ?, 25.0, 38.12, -122.54, false
64, Santa Ynez, 490.0, 34.58, -120.08, true
65, ?, 440.0, 37.91, -122.08, false
66, ?, 370.0, 32.73, -117.14, false
67, ?, 30.0, 34.43, -119.84, false
68,  Seeley, 40.0, 32.76, -115.73, true
69, ?, 125.0, 37.33, -121.95, false
70, Manteca, 33.0, 37.84, -121.22, true
71, Modesto, 35.0, 37.65, -121.19, true
